implementation,m,n,k,expected_samples,successful_samples,status,runtime_ms_median,runtime_ms_mean,runtime_ms_std,runtime_ms_min,runtime_ms_max,runtime_ms_cv,tflops_median,tflops_mean,tflops_std,tflops_min,tflops_max,tflops_cv,max_abs_diff,output_hash,ap_over_official,ap_over_official_percent,hash_matches_official
latest,256,256,256,5,5,success,0.00603648,0.006144128,0.0002659037877127741,0.005984,0.00661504,0.043277709662424696,5.55861,5.4689879999999995,0.2243476286257557,5.07245,5.60736,0.04102178110936716,1.43051e-06,13048750728423755127,1.0008480527197106,100.08480527197105,True
v00,256,256,256,5,5,success,0.00628352,0.006429952,0.0003910893324037363,0.00620544,0.00712704,0.06082305628467154,5.34007,5.232798,0.2947222366398572,4.70805,5.40726,0.05632211230776674,1.78814e-06,,0.9614991267397685,96.14991267397684,
v01,256,256,256,5,5,success,0.0060768,0.006113536,7.759138921297901e-05,0.0060416,0.00622592,0.01269173669918342,5.52173,5.48925,0.06921782393285685,5.38947,5.5539,0.012609705138745155,1.78814e-06,,0.9942076738868183,99.42076738868182,
v02,256,256,256,5,5,success,0.00619968,0.006371456,0.0003591391235719106,0.00606208,0.0069632,0.056366884362367184,5.41228,5.279154,0.28375471578460154,4.81882,5.53513,0.05375003566567703,1.78814e-06,,0.9745008012387693,97.45008012387693,
v03,256,256,256,5,5,success,0.00602112,0.006192256,0.00037783683420227854,0.00598016,0.0068608,0.06101763786934496,5.57279,5.433798,0.3078204260116605,4.89075,5.61096,0.05664922141229035,1.78814e-06,,1.0034012135616415,100.34012135616415,
v04,256,256,256,5,5,success,0.00615936,0.006401664,0.0004840168142533894,0.00597824,0.00698368,0.07560796915511177,5.44771,5.26501,0.3885062262692838,4.80469,5.61276,0.07379021621407819,1.78814e-06,,0.9808801022704766,98.08801022704766,
v05,256,256,256,5,5,success,0.00618496,0.006401408,0.00045124684012190047,0.00600064,0.00690176,0.07049181057072139,5.42517,5.262212,0.363294467436541,4.86172,5.59181,0.06903835638635254,1.78814e-06,,0.9768216928644736,97.68216928644736,
v06,256,256,256,5,5,success,0.00616192,0.0062688,0.00037140353040863766,0.00603584,0.00692224,0.059246351839050165,5.44545,5.3666599999999995,0.296530840807495,4.84734,5.5592,0.055254262578120286,1.78814e-06,,0.9804731810079405,98.04731810079404,
v07,256,256,256,5,5,success,0.0062464,0.0063316480000000005,0.0003959522298459752,0.00587392,0.00679936,0.06253541413641048,5.3718,5.316016,0.3308082698936047,4.93494,5.71244,0.06222860689162799,1.78814e-06,,0.9672122292443149,96.72122292443149,
v08,256,256,256,5,5,success,0.00608832,0.006139008,0.0002007098570573951,0.00600064,0.0064896,0.0326941839882592,5.51128,5.4702779999999995,0.17221838511030105,5.17049,5.59181,0.03148256544005644,1.43051e-06,13048750728423755127,0.9923261131817283,99.23261131817283,True
latest,512,512,512,5,5,success,0.0109363,0.01140634,0.000827526762709219,0.0107264,0.0123085,0.07254971907809332,24.5453,23.63102,1.67354358981175,21.809,25.0257,0.07081977797876478,3.8147e-06,2368982924157930028,0.9925072582145198,99.25072582145198,True
v00,512,512,512,5,5,success,0.0128,0.01239066,0.0005907049669674363,0.0116576,0.0128378,0.04767340617589671,20.9715,21.704539999999998,1.0547126423818003,20.9098,23.0266,0.04859410254176317,3.57628e-06,,0.8479980267361082,84.79980267361083,
v01,512,512,512,5,5,success,0.0124698,0.01205738,0.0006066614888057423,0.011305,0.0125338,0.05031453672404306,21.5269,22.30932,1.1452869452674295,21.417,23.7449,0.051336703461487374,3.57628e-06,,0.8704560342248066,87.04560342248065,
v02,512,512,512,5,5,success,0.0124314,0.0120759,0.0005173191761379047,0.0113254,0.0124518,0.04283897482903177,21.5934,22.26254,0.9782922968111328,21.5579,23.702,0.0439434267972627,3.57628e-06,,0.8731450106345984,87.31450106345984,
v03,512,512,512,5,5,success,0.0123085,0.01199768,0.000513386104213973,0.0112614,0.0123955,0.04279044817114417,21.809,22.40754,0.9823209775831928,21.6558,23.8367,0.04383885859773955,3.57628e-06,,0.8818629552052923,88.18629552052923,
v04,512,512,512,5,5,success,0.0123699,0.01228328,0.00016687340111593588,0.0121005,0.0124314,0.013585410502401302,21.7007,21.857,0.2982462321639625,21.5934,22.1839,0.013645341637185456,3.57628e-06,,0.8774837650522026,87.74837650522026,
v05,512,512,512,5,5,success,0.0121242,0.01200948,0.000585466495198487,0.0109978,0.0124518,0.04875036181404083,22.1405,22.39706,1.15624404560629,21.5579,24.4082,0.0516248135070536,3.57628e-06,,0.8952674015187663,89.52674015187662,
v06,512,512,512,5,5,success,0.0123494,0.01189862,0.0006945946962077956,0.0109773,0.0124518,0.05837607186445114,21.7367,22.62356,1.356433628306229,21.5579,24.4537,0.05995668357704221,3.57628e-06,,0.8789394515296839,87.89394515296839,
v07,512,512,512,5,5,success,0.0119398,0.01179634,0.0005345875915133086,0.0112205,0.0122899,0.045318089467861096,22.4823,22.79358,1.0425709433894657,21.8419,23.9237,0.04573967509226132,3.57628e-06,,0.9090883359077419,90.90883359077418,
v08,512,512,512,5,5,success,0.0120013,0.01176346,0.000624565451333965,0.0109773,0.012329,0.05309368598473281,22.3672,22.8719,1.2357961320541508,21.7728,24.4537,0.05403119688587965,3.8147e-06,2368982924157930028,0.9044341827533502,90.44341827533502,True
